tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
653534,SGT,ds_attribute,963833475,9,22,8b3289c9-a740-4091-a56d-e4d55af526b5,963833475,963833476,9,1574,4,attribute
653534,SGT,ds_attribute,812675704,9,30,8b3289c9-a740-4091-a56d-e4d55af526b5,812675704,812675705,9,2029,5,attribute
653534,SGT,ds_attribute,966826698,7,21,8b3289c9-a740-4091-a56d-e4d55af526b5,966826698,966826699,7,1835,4,attribute
653534,SGT,ds_attribute,1368666911,9,28,8b3289c9-a740-4091-a56d-e4d55af526b5,1368666911,1368666912,9,1937,6,attribute
653534,SGT,ds_attribute,1337238067,10,47,8b3289c9-a740-4091-a56d-e4d55af526b5,1337238067,1337238068,10,2604,10,attribute
653534,SGT,ds_attribute,1331251621,10,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1331251621,1331251622,10,1638,3,attribute
653534,SGT,ds_attribute,1110501411,7,36,8b3289c9-a740-4091-a56d-e4d55af526b5,1110501411,1110501412,7,2314,6,attribute
653534,SGT,ds_attribute,798457894,8,33,8b3289c9-a740-4091-a56d-e4d55af526b5,798457894,798457895,8,2367,9,attribute
653534,SGT,ds_attribute,793219754,8,24,8b3289c9-a740-4091-a56d-e4d55af526b5,793219754,793219755,8,1811,5,attribute
653534,SGT,ds_attribute,831383349,10,24,8b3289c9-a740-4091-a56d-e4d55af526b5,831383349,831383350,10,1785,3,attribute
653534,SGT,ds_attribute,856825746,6,41,8b3289c9-a740-4091-a56d-e4d55af526b5,856825746,856825747,6,2248,8,attribute
653534,SGT,ds_attribute,1342476208,8,33,8b3289c9-a740-4091-a56d-e4d55af526b5,1342476208,1342476209,8,2359,6,attribute
653534,SGT,ds_attribute,850839300,7,24,8b3289c9-a740-4091-a56d-e4d55af526b5,850839300,850839301,7,2024,5,attribute
653534,SGT,ds_attribute,1323768563,6,35,8b3289c9-a740-4091-a56d-e4d55af526b5,1323768563,1323768564,6,1760,4,attribute
653534,SGT,ds_attribute,1311047364,9,31,8b3289c9-a740-4091-a56d-e4d55af526b5,1311047364,1311047365,9,1920,3,attribute
653534,SGT,ds_attribute,979547897,10,22,8b3289c9-a740-4091-a56d-e4d55af526b5,979547897,979547898,10,1951,5,attribute
653534,SGT,ds_attribute,1399347448,7,36,8b3289c9-a740-4091-a56d-e4d55af526b5,1399347448,1399347449,7,2113,8,attribute
653534,SGT,ds_attribute,1212270999,8,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1212270999,1212271000,8,1929,5,attribute
653534,SGT,ds_attribute,893492730,8,38,8b3289c9-a740-4091-a56d-e4d55af526b5,893492730,893492731,8,3873,11,attribute
653534,SGT,ds_attribute,762539216,9,28,8b3289c9-a740-4091-a56d-e4d55af526b5,762539216,762539217,9,1723,5,attribute
653534,SGT,ds_attribute,1334993150,8,27,8b3289c9-a740-4091-a56d-e4d55af526b5,1334993150,1334993151,8,2203,5,attribute
653534,SGT,ds_attribute,784240084,7,40,8b3289c9-a740-4091-a56d-e4d55af526b5,784240084,784240085,7,3586,8,attribute
653534,SGT,ds_attribute,864308804,8,33,8b3289c9-a740-4091-a56d-e4d55af526b5,864308804,864308805,8,2153,7,attribute
653534,SGT,ds_attribute,937642772,9,34,8b3289c9-a740-4091-a56d-e4d55af526b5,937642772,937642773,9,2490,6,attribute
653534,SGT,ds_attribute,1028187774,8,25,8b3289c9-a740-4091-a56d-e4d55af526b5,1028187774,1028187775,8,1700,4,attribute
653534,SGT,ds_attribute,1180842156,8,28,8b3289c9-a740-4091-a56d-e4d55af526b5,1180842156,1180842157,8,2099,5,attribute
