tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
578548,KDT,ds_attribute,1144923478,7,348,8b3289c9-a740-4091-a56d-e4d55af526b5,1144923478,1144923479,7,2979,7,attribute
578548,KDT,ds_attribute,997507236,10,6396,8b3289c9-a740-4091-a56d-e4d55af526b5,997507236,997507237,10,8018,7,attribute
578548,KDT,ds_attribute,906962235,7,2240,8b3289c9-a740-4091-a56d-e4d55af526b5,906962235,906962236,7,4319,7,attribute
578548,KDT,ds_attribute,976554674,9,6593,8b3289c9-a740-4091-a56d-e4d55af526b5,976554674,976554675,9,8587,6,attribute
578548,KDT,ds_attribute,990772484,10,6549,8b3289c9-a740-4091-a56d-e4d55af526b5,990772484,990772485,10,8390,7,attribute
578548,KDT,ds_attribute,993765707,8,6345,8b3289c9-a740-4091-a56d-e4d55af526b5,993765707,993765708,8,8162,8,attribute
578548,KDT,ds_attribute,1256421041,8,981,8b3289c9-a740-4091-a56d-e4d55af526b5,1256421041,1256421042,8,3222,7,attribute
578548,KDT,ds_attribute,1390367779,7,292,8b3289c9-a740-4091-a56d-e4d55af526b5,1390367779,1390367780,7,2009,6,attribute
578548,KDT,ds_attribute,731858678,9,8187,8b3289c9-a740-4091-a56d-e4d55af526b5,731858678,731858679,9,10351,7,attribute
578548,KDT,ds_attribute,790974836,8,168,8b3289c9-a740-4091-a56d-e4d55af526b5,790974836,790974837,8,2178,6,attribute
578548,KDT,ds_attribute,1213767611,7,338,8b3289c9-a740-4091-a56d-e4d55af526b5,1213767611,1213767612,7,2410,7,attribute
578548,KDT,ds_attribute,846349465,7,1061,8b3289c9-a740-4091-a56d-e4d55af526b5,846349465,846349466,7,2759,5,attribute
578548,KDT,ds_attribute,966826698,8,6408,8b3289c9-a740-4091-a56d-e4d55af526b5,966826698,966826699,8,8127,7,attribute
578548,KDT,ds_attribute,1094038684,10,309,8b3289c9-a740-4091-a56d-e4d55af526b5,1094038684,1094038685,10,2127,5,attribute
578548,KDT,ds_attribute,1140433643,9,643,8b3289c9-a740-4091-a56d-e4d55af526b5,1140433643,1140433644,9,2464,6,attribute
578548,KDT,ds_attribute,978799591,9,6494,8b3289c9-a740-4091-a56d-e4d55af526b5,978799591,978799592,9,8415,6,attribute
578548,KDT,ds_attribute,1338734679,7,677,8b3289c9-a740-4091-a56d-e4d55af526b5,1338734679,1338734680,7,2340,4,attribute
578548,KDT,ds_attribute,1368666911,9,203,8b3289c9-a740-4091-a56d-e4d55af526b5,1368666911,1368666912,9,1984,6,attribute
578548,KDT,ds_attribute,1259414265,9,405,8b3289c9-a740-4091-a56d-e4d55af526b5,1259414265,1259414266,9,2005,5,attribute
578548,KDT,ds_attribute,1318530422,9,251,8b3289c9-a740-4091-a56d-e4d55af526b5,1318530422,1318530423,9,1869,4,attribute
578548,KDT,ds_attribute,978051285,9,6453,8b3289c9-a740-4091-a56d-e4d55af526b5,978051285,978051286,9,8403,7,attribute
578548,KDT,ds_attribute,1400095754,7,328,8b3289c9-a740-4091-a56d-e4d55af526b5,1400095754,1400095755,7,1844,6,attribute
578548,KDT,ds_attribute,1360435547,10,116,8b3289c9-a740-4091-a56d-e4d55af526b5,1360435547,1360435548,10,19044,1632,attribute
0,KDT,ds_neighbor,11337,1,16446,8b3289c9-a740-4091-a56d-e4d55af526b5,1360435547,1360435548,11337,0,231,neighbor
578548,KDT,ds_window,-1305029698,2753780939,9145,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,9,144613,window
578548,KDT,ds_attribute,728117149,8,3697,8b3289c9-a740-4091-a56d-e4d55af526b5,728117149,728117150,8,5457,6,attribute
578548,KDT,ds_window,-1305029698,2753780939,8422,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,9,150484,window
578548,KDT,ds_attribute,823151986,6,830,8b3289c9-a740-4091-a56d-e4d55af526b5,823151986,823151987,6,2763,7,attribute
578548,KDT,ds_attribute,1260162570,7,204,8b3289c9-a740-4091-a56d-e4d55af526b5,1260162570,1260162571,7,1827,5,attribute
578548,KDT,ds_attribute,957098723,7,6328,8b3289c9-a740-4091-a56d-e4d55af526b5,957098723,957098724,7,8149,8,attribute
578548,KDT,ds_attribute,1392612696,10,276,8b3289c9-a740-4091-a56d-e4d55af526b5,1392612696,1392612697,10,2331,6,attribute
578548,KDT,ds_attribute,1120977692,10,312,8b3289c9-a740-4091-a56d-e4d55af526b5,1120977692,1120977693,10,2286,5,attribute
578548,KDT,ds_attribute,1227237115,9,500,8b3289c9-a740-4091-a56d-e4d55af526b5,1227237115,1227237116,9,2519,6,attribute
578548,KDT,ds_attribute,959343640,10,6812,8b3289c9-a740-4091-a56d-e4d55af526b5,959343640,959343641,10,8432,7,attribute
578548,KDT,ds_attribute,1088052237,8,405,8b3289c9-a740-4091-a56d-e4d55af526b5,1088052237,1088052238,8,2296,8,attribute
578548,KDT,ds_attribute,774512109,9,6472,8b3289c9-a740-4091-a56d-e4d55af526b5,774512109,774512110,9,8586,8,attribute
578548,KDT,ds_attribute,1023697939,9,8958,8b3289c9-a740-4091-a56d-e4d55af526b5,1023697939,1023697940,9,11087,7,attribute
578548,KDT,ds_attribute,902472400,11,2310,8b3289c9-a740-4091-a56d-e4d55af526b5,902472400,902472401,11,4473,5,attribute
578548,KDT,ds_attribute,1177848933,8,382,8b3289c9-a740-4091-a56d-e4d55af526b5,1177848933,1177848934,8,1857,5,attribute
578548,KDT,ds_attribute,1101521742,10,275,8b3289c9-a740-4091-a56d-e4d55af526b5,1101521742,1101521743,10,2100,6,attribute
578548,KDT,ds_attribute,1167372652,10,290,8b3289c9-a740-4091-a56d-e4d55af526b5,1167372652,1167372653,10,2144,6,attribute
578548,KDT,ds_attribute,860567275,6,1393,8b3289c9-a740-4091-a56d-e4d55af526b5,860567275,860567276,6,3547,6,attribute
578548,KDT,ds_attribute,886009672,10,1823,8b3289c9-a740-4091-a56d-e4d55af526b5,886009672,886009673,10,3740,8,attribute
578548,KDT,ds_attribute,1161386205,7,337,8b3289c9-a740-4091-a56d-e4d55af526b5,1161386205,1161386206,7,2338,7,attribute
578548,KDT,ds_attribute,1277373604,9,632,8b3289c9-a740-4091-a56d-e4d55af526b5,1277373604,1277373605,9,2233,5,attribute
578548,KDT,ds_attribute,1337986373,11,287,8b3289c9-a740-4091-a56d-e4d55af526b5,1337986373,1337986374,11,2206,5,attribute
578548,KDT,ds_attribute,1018459798,8,7071,8b3289c9-a740-4091-a56d-e4d55af526b5,1018459798,1018459799,8,9116,11,attribute
578548,KDT,ds_attribute,1003493682,7,6559,8b3289c9-a740-4091-a56d-e4d55af526b5,1003493682,1003493683,7,8425,7,attribute
